City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
223,Pangnirtung,CA,2020-06-20 04:13:28,66.15,-65.71,37.42,79,2,1.99
224,Sao Joao Da Barra,BR,2020-06-20 04:13:28,-21.64,-41.05,71.28,91,42,10.13
225,Zhuhai,CN,2020-06-20 04:13:28,22.28,113.57,89.6,74,20,11.41
226,Mango,US,2020-06-20 04:13:29,27.98,-82.31,80.01,26,75,4.7
227,Syamzha,RU,2020-06-20 04:13:29,60.02,41.06,48.54,65,21,9.53
228,Waitati,NZ,2020-06-20 04:13:29,-45.75,170.57,50.0,75,69,11.01
229,Mehamn,NO,2020-06-20 04:13:29,71.04,27.85,43.92,80,94,15.9
230,Tambopata,PE,2020-06-20 04:13:30,-12.73,-69.18,73.18,76,16,1.23
231,Georgetown,MY,2020-06-20 04:10:05,5.41,100.34,84.2,79,20,5.82
232,North Platte,US,2020-06-20 04:13:30,41.12,-100.77,62.6,82,90,6.93
233,Pevek,RU,2020-06-20 04:13:30,69.7,170.31,45.27,65,21,10.6
234,Zabol,AF,2020-06-20 04:13:31,32.25,67.25,82.72,13,0,5.08
235,Avera,US,2020-06-20 04:04:04,33.19,-82.53,75.2,83,75,10.29
236,Dire Dawa,ET,2020-06-20 04:13:31,9.59,41.87,72.46,59,55,10.94
237,Lazaro Cardenas,MX,2020-06-20 04:09:07,17.96,-102.2,79.03,71,2,2.84
238,Catamarca,AR,2020-06-20 04:13:31,-28.47,-65.79,55.99,61,0,1.01
239,Atasu,KZ,2020-06-20 04:13:32,48.68,71.64,57.81,44,15,9.86
240,Leningradskiy,RU,2020-06-20 04:13:32,69.38,178.42,46.56,58,13,5.95
241,Rudnya,RU,2020-06-20 04:13:32,54.95,31.09,66.99,90,86,3.65
242,Zhigansk,RU,2020-06-20 04:13:32,66.77,123.37,77.72,31,25,11.34
243,Pisco,PE,2020-06-20 04:13:33,-13.7,-76.22,62.6,82,0,10.29
244,Sulina,RO,2020-06-20 04:13:33,45.16,29.65,69.48,82,34,6.24
245,Grindavik,IS,2020-06-20 04:13:33,63.84,-22.43,48.2,100,90,2.24
246,Ilulissat,GL,2020-06-20 04:13:33,69.22,-51.1,39.2,80,0,4.7
247,Naze,JP,2020-06-20 04:13:34,28.37,129.48,77.0,94,75,4.7
248,Mount Darwin,ZW,2020-06-20 04:13:34,-16.77,31.58,51.76,89,52,1.79
249,Bata,GQ,2020-06-20 04:13:34,1.86,9.77,76.23,89,100,7.76
