City_ID,City,Country,Max Temp,Current Description,Rain (inches),Snow (inches),Lat,Lng,Hotel Name
397,Vila Franca Do Campo,PT,66.2,few clouds,0.0,0,37.72,-25.43,Pestana Bahia Praia
399,Malartic,CA,89.6,broken clouds,0.0,0,48.13,-78.13,Camping Regional De Malartic
400,Linxi,CN,71.64,broken clouds,0.0,0,39.7,118.43,Peace Hotel
401,Hartselle,US,90.0,clear sky,0.0,0,34.44,-86.94,Country Cottage-Hartselle
404,Sura,RU,62.11,broken clouds,0.0,0,53.89,45.74,
405,Linxia,CN,61.18,few clouds,0.0,0,35.6,103.21,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
406,Zhanakorgan,KZ,65.82,clear sky,0.0,0,43.91,67.25,"""Ақпалас"" қонақ үйі"
407,Nehe,CN,60.57,broken clouds,0.0,0,48.48,124.83,Vladimir Homestay
410,Thai Binh,VN,86.0,scattered clouds,0.0,0,20.45,106.33,Hội Liên Hiệp Phụ Nữ Tỉnh Thái Bình
411,Saint-Pierre,RE,68.0,scattered clouds,0.0,0,-21.34,55.48,Lindsey Hôtel
412,Luanda,AO,73.4,few clouds,0.0,0,-8.84,13.23,EPIC SANA Luanda
414,Ternate,ID,80.58,overcast clouds,0.0,0,0.8,127.4,Grand Dafam Bela Ternate
415,Crixas,BR,77.09,overcast clouds,0.0,0,-14.55,-49.97,RISO HOTEL
419,Silifke,TR,79.75,clear sky,0.0,0,36.38,33.93,Altınorfoz
420,Inhambane,MZ,64.42,clear sky,0.0,0,-23.86,35.38,Oceano
421,Verkhoyansk,RU,81.73,clear sky,0.0,0,67.54,133.38,
423,Takoradi,GH,76.96,broken clouds,0.0,0,4.88,-1.76,Raybow International Hotel
424,Nouakchott,MR,77.0,clear sky,0.0,0,18.09,-15.98,Hôtel Iman
425,Padang,ID,77.32,overcast clouds,0.0,0,-0.95,100.35,Mercure Padang
426,Mecca,SA,83.84,broken clouds,0.0,0,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
428,Hualmay,PE,66.13,few clouds,0.0,0,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
429,Havre,FR,68.0,scattered clouds,0.0,0,49.58,0.33,gite bois jourdain
431,Dawlatabad,AF,76.53,clear sky,0.0,0,36.41,64.91,WASIM ASGAR KHAN
432,Ilinskiy,RU,64.99,scattered clouds,0.0,0,55.62,38.12,"КРЕАТОВО, инновационный центр"
433,Kavieng,PG,82.67,few clouds,0.0,0,-2.57,150.8,Nusa Island Retreat
434,Ryde,GB,61.0,broken clouds,0.0,0,50.73,-1.16,Dorset Hotel
435,Luganville,VU,75.2,scattered clouds,0.0,0,-15.53,167.17,The Espiritu Hotel
437,Forssa,FI,63.0,clear sky,0.0,0,60.81,23.62,Scandic Forssa
438,Jawhar,SO,75.92,clear sky,0.0,0,2.78,45.5,Ceelbaraf high school
439,Soyo,AO,73.94,clear sky,0.0,0,-6.13,12.37,Hotel Mpampa
441,Mandalgovi,MN,62.62,broken clouds,0.0,0,45.76,106.27,В.Ганбат
442,Gat,IL,73.0,clear sky,0.0,0,31.61,34.76,רגע בנחת
443,Lampazos De Naranjo,MX,97.05,overcast clouds,0.0,0,27.02,-100.52,Bella Vista
444,Alofi,NU,76.73,overcast clouds,0.0,0,-19.06,-169.92,Taloa Heights
445,Havelock,US,84.2,thunderstorm,0.0,0,34.88,-76.9,Sherwood Motel
450,Ambulu,ID,74.43,broken clouds,0.0,0,-8.35,113.61,Hotel Ambulu Jember
451,Westport,US,84.2,clear sky,0.0,0,41.14,-73.36,The Westport Inn
452,Saint-Raymond,CA,91.4,few clouds,0.0,0,45.47,-73.61,Comfort Suites Downtown
453,San Pedro,PH,80.6,few clouds,0.0,0,14.35,121.02,OYO 412 Viewfort Venue
454,Kattivakkam,IN,86.0,haze,0.0,0,13.22,80.32,St. Joseph Thirumana mandapam
456,Husavik,IS,60.8,few clouds,0.0,0,66.04,-17.34,Bjarnabúð
457,Roald,NO,64.0,overcast clouds,0.0,0,62.58,6.13,Flem Cabins
458,Korem,ET,62.4,scattered clouds,0.0,0,12.51,39.52,
459,Norrtalje,SE,66.2,clear sky,0.0,0,59.76,18.7,Norrtälje Vandrarhem Hvilan
460,Great Yarmouth,GB,61.0,clear sky,0.0,0,52.61,1.73,Comfort Hotel Great Yarmouth
462,Tual,ID,80.29,clear sky,0.0,0,-5.67,132.75,Grand Vilia Hotel
463,Maragheh,IR,61.27,clear sky,0.0,0,37.39,46.24,Grand Hotel Maragheh
464,Waddan,LY,80.11,clear sky,0.0,0,29.16,16.14,محل الشريف محمد العايب
466,Rincon,US,91.4,broken clouds,0.0,0,32.3,-81.24,Bent tree subdivision
468,Mabai,CN,64.36,overcast clouds,0.0,0,23.01,104.45,Yingpan Hostel
473,Shubarshi,KZ,67.03,clear sky,0.0,0,48.59,57.19,
474,Port Shepstone,ZA,62.24,clear sky,0.0,0,-30.74,30.45,My Den Beachfront B&B And Self-Catering
475,Sakakah,SA,82.4,clear sky,0.0,0,29.97,40.21,Fakhamat Al Orjoana Apartment
